Eccentricity,roundness,Class
0.506352834,0.961276389,SEKER
0.582547095,0.949462632,SEKER
0.486132629,0.917134004,SEKER
0.560364527,0.959562001,SEKER
0.516407505,0.926926508,SEKER
0.296720861,0.927198033,SEKER
0.574447868,0.874124721,SEKER
0.553546741,0.905000877,SEKER
0.539249994,0.924597414,SEKER
0.556677424,0.935626643,SEKER
0.542223823,0.973842946,SEKER
0.549663318,0.965071386,SEKER
0.476689675,0.94465755,SEKER
0.547087283,0.96677736,SEKER
0.51908899,0.931172778,SEKER
0.650391531,0.955822961,SEKER
0.510582618,0.977167183,SEKER
0.448903019,0.94334064,SEKER
0.588365282,0.972758069,SEKER
0.522480157,0.9906854,SEKER
0.520175444,0.974810341,SEKER
0.637220052,0.899742964,SEKER
0.516138043,0.973563187,SEKER
0.621001572,0.944219534,SEKER
0.303273094,0.956520582,SEKER
0.607696024,0.958954568,SEKER
0.442693503,0.962263101,SEKER
0.6384619,0.842534348,SEKER
0.588756561,0.931005952,SEKER
0.543808892,0.936629385,SEKER
0.530484185,0.920666621,SEKER
0.535842011,0.979912348,SEKER
0.486151306,0.907840655,SEKER
0.616255393,0.964368085,SEKER
0.54667768,0.957540959,SEKER
0.515908654,0.964671718,SEKER
0.498328415,0.949927944,SEKER
0.46793088,0.979504999,SEKER
0.530804973,0.967023472,SEKER
0.575596241,0.948129347,SEKER
0.587351259,0.968463377,SEKER
0.473606709,0.94474509,SEKER
0.538686621,0.972284135,SEKER
0.529237524,0.97643744,SEKER
0.550708725,0.952120901,SEKER
0.460233577,0.978794213,SEKER
0.53274976,0.965536869,SEKER
0.569797937,0.973658914,SEKER
0.452185632,0.976058644,SEKER
0.563582376,0.972569007,SEKER
0.518987648,0.96049636,SEKER
0.353836994,0.987089244,SEKER
0.566352488,0.941549974,SEKER
0.529912303,0.950272923,SEKER
0.492559596,0.975444036,SEKER
0.518178984,0.972236276,SEKER
0.369995763,0.886596875,SEKER
0.505431801,0.940519106,SEKER
0.421848171,0.97171275,SEKER
0.52966059,0.94405814,SEKER
0.52757456,0.961582569,SEKER
0.597950376,0.959948457,SEKER
0.593081148,0.939493017,SEKER
0.480682529,0.985949497,SEKER
0.440779117,0.957917183,SEKER
0.582426873,0.948303455,SEKER
0.466327555,0.986684731,SEKER
0.497013692,0.973135967,SEKER
0.540110507,0.944779673,SEKER
0.477854006,0.948773259,SEKER
0.618486935,0.963681409,SEKER
0.528093987,0.911286442,SEKER
0.471666862,0.968399824,SEKER
0.587584681,0.952518888,SEKER
0.559059342,0.95696179,SEKER
0.50961126,0.960652272,SEKER
0.589522187,0.957942188,SEKER
0.619435383,0.954360587,SEKER
0.646827292,0.895463526,SEKER
0.604309903,0.957837195,SEKER
0.482473841,0.961251403,SEKER
0.602708675,0.943069114,SEKER
0.442251584,0.954174231,SEKER
0.490774479,0.969700851,SEKER
0.563915151,0.981071581,SEKER
0.587801025,0.952086748,SEKER
0.539222369,0.964078826,SEKER
0.546225424,0.932853601,SEKER
0.595136326,0.948783552,SEKER
0.449779934,0.976218398,SEKER
0.576827653,0.958809282,SEKER
0.54635901,0.925014467,SEKER
0.563704561,0.962470112,SEKER
0.459431581,0.943888774,SEKER
0.620151121,0.965239485,SEKER
0.503674085,0.960920889,SEKER
0.583377426,0.943939862,SEKER
0.528982779,0.978876878,SEKER
0.50998793,0.936935665,SEKER
0.496101592,0.982176064,SEKER
0.543480298,0.961200851,SEKER
0.531362195,0.983423569,SEKER
0.597632979,0.936777941,SEKER
0.485315785,0.95232341,SEKER
0.59086546,0.968746459,SEKER
0.563116981,0.91895908,SEKER
0.543637825,0.951641846,SEKER
0.492450072,0.962616531,SEKER
0.537585123,0.940967839,SEKER
0.558556303,0.905675761,SEKER
0.569343533,0.955628131,SEKER
0.442708884,0.955282162,SEKER
0.540470046,0.962118171,SEKER
0.573880789,0.940306539,SEKER
0.553693873,0.973604944,SEKER
0.558475195,0.967606759,SEKER
0.636587835,0.947747671,SEKER
0.682950707,0.933937272,SEKER
0.568936466,0.963499612,SEKER
0.577389526,0.97691809,SEKER
0.556345118,0.937956691,SEKER
0.582555932,0.92293633,SEKER
0.598680683,0.971424393,SEKER
0.488214125,0.914297554,SEKER
0.581027879,0.940871694,SEKER
0.585767825,0.934165286,SEKER
0.553194986,0.913524268,SEKER
0.543876991,0.947980998,SEKER
0.600643034,0.923751269,SEKER
0.496926671,0.928179091,SEKER
0.691799925,0.948273245,SEKER
0.558005411,0.974098956,SEKER
0.505847536,0.958462926,SEKER
0.65389796,0.943343645,SEKER
0.590790465,0.916610562,SEKER
0.588213024,0.952246946,SEKER
0.618394789,0.94254029,SEKER
0.559399185,0.970862501,SEKER
0.491904913,0.972433566,SEKER
0.575058574,0.955026346,SEKER
0.357077019,0.912638553,SEKER
0.604081588,0.964405129,SEKER
0.51929162,0.968558463,SEKER
0.587736043,0.968214523,SEKER
0.568123459,0.959247461,SEKER
0.510948533,0.925151042,SEKER
0.609433752,0.931611724,SEKER
0.53003497,0.954317679,SEKER
0.570382778,0.975575378,SEKER
0.581381107,0.966515131,SEKER
0.544213158,0.969391848,SEKER
0.51661761,0.976434152,SEKER
0.59664803,0.948817239,SEKER
0.497802899,0.939291173,SEKER
0.604623587,0.956601017,SEKER
0.506938033,0.975292284,SEKER
0.56228427,0.972054226,SEKER
0.58488132,0.914792671,SEKER
0.556315398,0.953205151,SEKER
0.515531503,0.970863662,SEKER
0.532598937,0.968740162,SEKER
0.52832113,0.97067019,SEKER
0.593731888,0.966334706,SEKER
0.423653581,0.974856864,SEKER
0.456997571,0.956724018,SEKER
0.559360961,0.926015239,SEKER
0.543202669,0.92318101,SEKER
0.568579226,0.974755876,SEKER
0.552573788,0.936369007,SEKER
0.523256094,0.967764075,SEKER
0.528779858,0.951384824,SEKER
0.551033739,0.952803043,SEKER
0.523150809,0.912512069,SEKER
0.616478558,0.909023168,SEKER
0.610371182,0.970264152,SEKER
0.505001894,0.968978812,SEKER
0.563576479,0.958497188,SEKER
0.461004955,0.974743466,SEKER
0.606033555,0.928807931,SEKER
0.548003376,0.96319178,SEKER
0.476359223,0.947505431,SEKER
0.484834723,0.971888339,SEKER
0.533427616,0.949894318,SEKER
0.603127827,0.920682093,SEKER
0.458682478,0.960650949,SEKER
0.588969591,0.947786227,SEKER
0.566372342,0.968784811,SEKER
0.483847619,0.954768529,SEKER
0.593855566,0.955877575,SEKER
0.567317077,0.977110029,SEKER
0.544911378,0.959958935,SEKER
0.711032482,0.658073911,SEKER
0.539998207,0.927994074,SEKER
0.561130429,0.942296065,SEKER
0.591031959,0.963309985,SEKER
0.553487963,0.971367322,SEKER
0.611597287,0.946014953,SEKER
0.618310695,0.969256937,SEKER
0.65095951,0.780370411,SEKER
0.590300279,0.969700104,SEKER
0.570665001,0.96418627,SEKER
0.6081324,0.951914484,SEKER
0.556608864,0.978361547,SEKER
0.558273939,0.964317665,SEKER
0.480231413,0.961768562,SEKER
0.523551942,0.954200246,SEKER
0.535143216,0.976379396,SEKER
0.442171641,0.894204122,SEKER
0.523707997,0.968546765,SEKER
0.57758939,0.919684117,SEKER
0.58409876,0.960251575,SEKER
0.528664177,0.931729962,SEKER
0.509351984,0.938150821,SEKER
0.673214081,0.916070945,SEKER
0.607471966,0.958748216,SEKER
0.481167454,0.931002892,SEKER
0.560004226,0.937456494,SEKER
0.560170279,0.932181424,SEKER
0.54647266,0.930216457,SEKER
0.579438588,0.953084795,SEKER
0.552902155,0.955000906,SEKER
0.567667673,0.940010129,SEKER
0.51366751,0.984352571,SEKER
0.622654309,0.960302653,SEKER
0.580728621,0.943131656,SEKER
0.484341376,0.986812285,SEKER
0.657307236,0.952079756,SEKER
0.620222204,0.948591369,SEKER
0.5340936,0.974203092,SEKER
0.563523226,0.966795425,SEKER
0.490196672,0.885450557,SEKER
0.592053019,0.954729791,SEKER
0.55346987,0.960980094,SEKER
0.603884463,0.972326252,SEKER
0.542251338,0.973523935,SEKER
0.571122486,0.968772063,SEKER
0.627256068,0.948679991,SEKER
0.581144872,0.950678806,SEKER
0.461251975,0.938529434,SEKER
0.580285549,0.964363679,SEKER
0.551758353,0.951010328,SEKER
0.527819837,0.950548013,SEKER
0.611387126,0.967623431,SEKER
0.442655743,0.955004742,SEKER
0.437377572,0.964785022,SEKER
0.555762068,0.967596331,SEKER
0.609759171,0.943722302,SEKER
0.588567005,0.962164123,SEKER
0.57443147,0.941605758,SEKER
0.560326339,0.928753744,SEKER
0.605454602,0.951597201,SEKER
0.557333834,0.951754225,SEKER
0.574726302,0.952613205,SEKER
0.512439523,0.968247541,SEKER
0.491900241,0.958002864,SEKER
0.509343946,0.966320784,SEKER
0.571313449,0.919985412,SEKER
0.541413474,0.949225585,SEKER
0.57771681,0.939287602,SEKER
0.599673407,0.957339529,SEKER
0.408708385,0.951691714,SEKER
0.593018666,0.95737865,SEKER
0.604501323,0.939854937,SEKER
0.584298532,0.962583648,SEKER
0.533781707,0.957829256,SEKER
0.566127097,0.966632975,SEKER
0.635991732,0.950454118,SEKER
0.5037461,0.896037148,SEKER
0.496289109,0.976307876,SEKER
0.596285403,0.959662852,SEKER
0.562742866,0.959060245,SEKER
0.494281412,0.947224635,SEKER
0.556669634,0.967591457,SEKER
0.570023834,0.97044743,SEKER
0.591408965,0.911841034,SEKER
0.503925709,0.959894351,SEKER
0.58295327,0.960596075,SEKER
0.580091585,0.971527984,SEKER
0.478650982,0.953977692,SEKER
0.627710839,0.943837534,SEKER
0.601326085,0.966832064,SEKER
0.499284173,0.941102697,SEKER
0.612446177,0.958902087,SEKER
0.479596812,0.973677814,SEKER
0.412821343,0.905521032,SEKER
0.55232461,0.968557402,SEKER
0.530677806,0.976570477,SEKER
0.529583495,0.953543639,SEKER
0.667151862,0.935883361,SEKER
0.542904715,0.956510555,SEKER
0.601877373,0.918624328,SEKER
0.48012413,0.958612545,SEKER
0.570885488,0.945030857,SEKER
0.655380254,0.927453647,SEKER
0.621199848,0.944126734,SEKER
0.658756145,0.927000559,SEKER
0.61857737,0.941750475,SEKER
0.516140833,0.948184461,SEKER
0.562493166,0.972347904,SEKER
0.54588345,0.933164276,SEKER
0.569814436,0.951915555,SEKER
0.554465019,0.958726687,SEKER
0.580212296,0.969458687,SEKER
0.477974624,0.96764915,SEKER
0.626218826,0.939429298,SEKER
0.57701846,0.942423825,SEKER
0.52141391,0.952577641,SEKER
0.586208483,0.915231552,SEKER
0.592875311,0.97479954,SEKER
0.575087465,0.917769708,SEKER
0.599717186,0.938679942,SEKER
0.505761316,0.969773596,SEKER
0.581843363,0.93110906,SEKER
0.551491834,0.944011947,SEKER
0.57261619,0.957401434,SEKER
0.51162219,0.976778354,SEKER
0.622699879,0.960211941,SEKER
0.582840661,0.956328371,SEKER
0.619223515,0.954029313,SEKER
0.565741088,0.957669592,SEKER
0.630575224,0.921131761,SEKER
0.679996702,0.915997786,SEKER
0.570342979,0.959484154,SEKER
0.57154092,0.959769124,SEKER
0.59087126,0.958645244,SEKER
0.605794808,0.965224912,SEKER
0.581249747,0.942386,SEKER
0.383946726,0.987919735,SEKER
0.654231454,0.93517016,SEKER
0.363352382,0.9557384,SEKER
0.612516338,0.949328664,SEKER
0.549256353,0.958114167,SEKER
0.681746498,0.930593962,SEKER
0.472880198,0.958756122,SEKER
0.578769272,0.962363431,SEKER
0.539202072,0.968741461,SEKER
0.564955654,0.940983282,SEKER
0.588537037,0.951588044,SEKER
0.567138918,0.947264433,SEKER
0.622995054,0.96230034,SEKER
0.530660587,0.975020092,SEKER
0.493274838,0.963093567,SEKER
0.515664436,0.9782764,SEKER
0.518495342,0.970682229,SEKER
0.534186405,0.963261161,SEKER
0.57814546,0.958396831,SEKER
0.589478311,0.962084031,SEKER
0.594780918,0.961602424,SEKER
0.500412098,0.962999824,SEKER
0.627604469,0.951912517,SEKER
0.690581428,0.896038386,SEKER
0.627612745,0.967494358,SEKER
0.701078793,0.93914945,SEKER
0.518444527,0.96557785,SEKER
0.366211229,0.909926759,SEKER
0.541536583,0.96059461,SEKER
0.560593502,0.963208888,SEKER
0.660916598,0.916479363,SEKER
0.633574163,0.956297082,SEKER
0.561090618,0.95918178,SEKER
0.355277139,0.946274601,SEKER
0.490247284,0.941985735,SEKER
0.68640029,0.943720538,SEKER
0.606653382,0.969138386,SEKER
0.590688337,0.954737296,SEKER
0.591746982,0.822473718,SEKER
0.566931813,0.975077058,SEKER
0.539520807,0.948292263,SEKER
0.575520609,0.946106031,SEKER
0.585463053,0.918110254,SEKER
0.629615417,0.941951431,SEKER
0.544941364,0.969813004,SEKER
0.576921209,0.952969192,SEKER
0.566779968,0.950872719,SEKER
0.571104629,0.976496399,SEKER
0.66305439,0.929912984,SEKER
0.662003937,0.892732205,SEKER
0.57157185,0.950544188,SEKER
0.548130717,0.904715965,SEKER
0.418317348,0.86794521,SEKER
0.465143113,0.958535613,SEKER
0.487901589,0.972503408,SEKER
0.428351147,0.974099692,SEKER
0.616335363,0.952598938,SEKER
0.547953699,0.898166783,SEKER
0.604915692,0.917853324,SEKER
0.566856441,0.945644243,SEKER
0.368884043,0.951903609,SEKER
0.613488463,0.900972633,SEKER
0.668890084,0.942698842,SEKER
0.550652643,0.983414912,SEKER
0.516696654,0.950185125,SEKER
0.58877486,0.961999059,SEKER
0.590447292,0.971750815,SEKER
0.586187457,0.970545706,SEKER
0.442693642,0.94531487,SEKER
0.585478977,0.966861368,SEKER
0.568867373,0.967177561,SEKER
0.56356268,0.954415403,SEKER
0.547362212,0.891730899,SEKER
0.573836068,0.925804774,SEKER
0.584500192,0.972149813,SEKER
0.49325106,0.933467365,SEKER
0.571243464,0.980137395,SEKER
0.343278441,0.955864628,SEKER
0.517368211,0.927074178,SEKER
0.604745261,0.973669101,SEKER
0.619886114,0.868347978,SEKER
0.648152282,0.957694019,SEKER
0.627396254,0.947519948,SEKER
0.502876019,0.895710468,SEKER
0.59722056,0.960758534,SEKER
0.644077851,0.957166508,SEKER
0.545538777,0.95126232,SEKER
0.577107476,0.97031202,SEKER
0.551123927,0.976516161,SEKER
0.620086378,0.938181722,SEKER
0.493377288,0.980865807,SEKER
0.427131464,0.968227162,SEKER
0.541292841,0.97368024,SEKER
0.585675315,0.958939671,SEKER
0.563590725,0.960856548,SEKER
0.63080564,0.960162934,SEKER
0.588253756,0.961690641,SEKER
0.52970465,0.983256019,SEKER
0.502990213,0.961090437,SEKER
0.558085276,0.955457623,SEKER
0.5652917,0.942212593,SEKER
0.580109096,0.96842694,SEKER
0.580017939,0.955054758,SEKER
0.609673317,0.944120243,SEKER
0.565593065,0.963706162,SEKER
0.472667792,0.924255797,SEKER
0.589389131,0.967897548,SEKER
0.611052403,0.951224887,SEKER
0.586887217,0.947796756,SEKER
0.587875921,0.947439902,SEKER
0.597171097,0.956675486,SEKER
0.512590135,0.9599206,SEKER
0.526501064,0.962458006,SEKER
0.484557236,0.964492297,SEKER
0.218951263,0.938718927,SEKER
0.51402542,0.960237602,SEKER
0.518041342,0.958340093,SEKER
0.572477778,0.958884021,SEKER
0.618906929,0.944183571,SEKER
0.494796802,0.971809873,SEKER
0.578156383,0.910001686,SEKER
0.586251845,0.953347617,SEKER
0.491005896,0.960188191,SEKER
0.649123224,0.942350471,SEKER
0.608159195,0.960270151,SEKER
0.631631612,0.951839994,SEKER
0.599969341,0.960926737,SEKER
0.475249469,0.972124088,SEKER
0.655064694,0.922780249,SEKER
0.598891637,0.942852985,SEKER
0.585559966,0.94246327,SEKER
0.543696217,0.971152874,SEKER
0.606557,0.961022872,SEKER
0.594697654,0.955335703,SEKER
0.647098284,0.957800813,SEKER
0.643920762,0.93817089,SEKER
0.375186433,0.971550953,SEKER
0.510797067,0.945279027,SEKER
0.547081714,0.971659303,SEKER
0.489718272,0.976563987,SEKER
0.624542523,0.867991553,SEKER
0.59366727,0.945536474,SEKER
0.458961391,0.968366078,SEKER
0.529582828,0.94524981,SEKER
0.57878445,0.967139045,SEKER
0.543723239,0.976307278,SEKER
0.515724098,0.889939137,SEKER
0.641595803,0.945522593,SEKER
0.621237321,0.947686914,SEKER
0.623010231,0.937380812,SEKER
0.540724566,0.962898819,SEKER
0.53234096,0.950948916,SEKER
0.649537421,0.953510306,SEKER
0.560417534,0.969137797,SEKER
0.575161681,0.919146911,SEKER
0.567527829,0.961578214,SEKER
0.617059141,0.937614142,SEKER
0.62009085,0.944350019,SEKER
0.622795716,0.967079328,SEKER
0.481680904,0.979939743,SEKER
0.556171154,0.978516565,SEKER
0.624758647,0.944522104,SEKER
0.544210316,0.943893701,SEKER
0.609479999,0.963526877,SEKER
0.605882494,0.966693687,SEKER
0.54236575,0.973224603,SEKER
0.582725416,0.965153438,SEKER
0.576250607,0.962150869,SEKER
0.562599964,0.97368237,SEKER
0.533345317,0.969693612,SEKER
0.582380673,0.947202068,SEKER
0.578326174,0.963628176,SEKER
0.567406158,0.933732954,SEKER
0.545937634,0.971461011,SEKER
0.651073996,0.948338973,SEKER
0.624503643,0.964817918,SEKER
0.549445112,0.966439959,SEKER
0.573457092,0.960284518,SEKER
0.555014617,0.954445779,SEKER
0.654466701,0.951816836,SEKER
0.611772236,0.951805478,SEKER
0.57424728,0.959112345,SEKER
0.631895354,0.939989487,SEKER
0.450449738,0.972078313,SEKER
0.544155416,0.944511346,SEKER
0.65059687,0.928909988,SEKER
0.612570951,0.953703341,SEKER
0.588904432,0.960006867,SEKER
0.596473597,0.956299952,SEKER
0.593560146,0.924810138,SEKER
0.529812869,0.954565765,SEKER
0.622842561,0.958133577,SEKER
0.635143414,0.965422626,SEKER
0.588249946,0.962481026,SEKER
0.572339727,0.968652763,SEKER
0.601209562,0.968312622,SEKER
0.412639862,0.954486107,SEKER
0.614171532,0.924773139,SEKER
0.492059713,0.965639328,SEKER
0.59725651,0.954372508,SEKER
0.512813722,0.954255376,SEKER
0.620271881,0.963087575,SEKER
0.630024792,0.958033354,SEKER
0.595477935,0.971721592,SEKER
0.619648047,0.95472202,SEKER
0.619350705,0.947403672,SEKER
0.530600992,0.97565549,SEKER
0.626170383,0.921259702,SEKER
0.649501559,0.922160738,SEKER
0.529329606,0.970866111,SEKER
0.60064676,0.861718087,SEKER
0.619931442,0.939797076,SEKER
0.522986632,0.898239962,SEKER
0.498561992,0.953046898,SEKER
0.539459114,0.937618578,SEKER
0.594378025,0.969259687,SEKER
0.554118968,0.934121761,SEKER
0.577018274,0.973484312,SEKER
0.56926133,0.966826103,SEKER
0.648507236,0.967600589,SEKER
0.554751318,0.944485641,SEKER
0.649233451,0.951914229,SEKER
0.595028909,0.961055212,SEKER
0.668552642,0.931626043,SEKER
0.626799537,0.96711071,SEKER
0.664885964,0.926399882,SEKER
0.536990234,0.973762446,SEKER
0.48870646,0.970515985,SEKER
0.5145771,0.9754539,SEKER
0.571977701,0.941348652,SEKER
0.621233664,0.934906809,SEKER
0.598708345,0.953047197,SEKER
0.603697651,0.855833889,SEKER
0.512017418,0.956868897,SEKER
0.488869547,0.952595276,SEKER
0.608774618,0.950172221,SEKER
0.585694708,0.959563622,SEKER
0.620790529,0.962271534,SEKER
0.666262538,0.918108307,SEKER
0.579082314,0.959790925,SEKER
0.609245374,0.966117082,SEKER
0.474331137,0.941437912,SEKER
0.643527199,0.945614767,SEKER
0.61940354,0.972590418,SEKER
0.562839014,0.974962127,SEKER
0.481489818,0.955174904,SEKER
0.650498099,0.916775805,SEKER
0.42984628,0.924926014,SEKER
0.659592776,0.959259756,SEKER
0.562882138,0.959876385,SEKER
0.571788927,0.972077749,SEKER
0.543431306,0.951525262,SEKER
0.573908559,0.969966226,SEKER
0.586544285,0.950935749,SEKER
0.560917069,0.953382342,SEKER
0.543307108,0.958281311,SEKER
0.580916419,0.949093903,SEKER
0.53237349,0.952809118,SEKER
0.496131615,0.902396242,SEKER
0.729783588,0.919517812,SEKER
0.629707813,0.957869425,SEKER
0.626919901,0.951769567,SEKER
0.552200573,0.957536706,SEKER
0.478060848,0.93808032,SEKER
0.531625954,0.959628611,SEKER
0.599989949,0.968010077,SEKER
0.56172289,0.946811131,SEKER
0.575858932,0.966723308,SEKER
0.548676341,0.946112555,SEKER
0.546266826,0.97273462,SEKER
0.664458168,0.930710256,SEKER
0.607316084,0.960962633,SEKER
0.547941889,0.962901407,SEKER
0.634457456,0.93039214,SEKER
0.572118387,0.951110722,SEKER
0.574024846,0.96501972,SEKER
0.520346322,0.943605844,SEKER
0.614763614,0.963809252,SEKER
0.602795515,0.962345306,SEKER
0.569258053,0.925726207,SEKER
0.414014566,0.952272156,SEKER
0.601184833,0.945508898,SEKER
0.551593868,0.979936055,SEKER
0.600669542,0.961803606,SEKER
0.585896659,0.956240318,SEKER
0.618284045,0.957524908,SEKER
0.586649371,0.974920642,SEKER
0.625246025,0.959731379,SEKER
0.647544862,0.928646822,SEKER
0.588422473,0.950292513,SEKER
0.471909209,0.945511072,SEKER
0.60024259,0.940295135,SEKER
0.529271137,0.953400158,SEKER
0.552300446,0.957531822,SEKER
0.509768874,0.932945365,SEKER
0.612873695,0.952323748,SEKER
0.572541091,0.956198908,SEKER
0.603349848,0.971168069,SEKER
0.516162105,0.869747686,SEKER
0.666855337,0.93017386,SEKER
0.616205658,0.951401451,SEKER
0.589368801,0.95544693,SEKER
0.581720184,0.968614511,SEKER
0.414194161,0.96246055,SEKER
0.536829925,0.975166602,SEKER
0.631490749,0.854004837,SEKER
0.644683323,0.95604193,SEKER
0.556510308,0.967179445,SEKER
0.541905124,0.977707527,SEKER
0.634944322,0.956316772,SEKER
0.450333704,0.982982075,SEKER
0.654620894,0.953667886,SEKER
0.472692121,0.932704375,SEKER
0.582965947,0.968839931,SEKER
0.57636108,0.945726372,SEKER
0.625682454,0.95584909,SEKER
0.61316085,0.924784993,SEKER
0.535624687,0.938177019,SEKER
0.617974083,0.958371743,SEKER
0.655651111,0.941322419,SEKER
0.613051849,0.962726959,SEKER
0.642897372,0.919689549,SEKER
0.530494959,0.950373118,SEKER
0.51868862,0.96937913,SEKER
0.65309466,0.927215406,SEKER
0.650311244,0.909132584,SEKER
0.51011981,0.973026098,SEKER
0.517338219,0.954973561,SEKER
0.574881622,0.93417992,SEKER
0.604880942,0.966935595,SEKER
0.637708265,0.925982531,SEKER
0.570908765,0.962738472,SEKER
0.597345174,0.932731687,SEKER
0.584633117,0.934588487,SEKER
0.558257544,0.935590711,SEKER
0.491323796,0.97064095,SEKER
0.572687945,0.958467531,SEKER
0.567708925,0.959524893,SEKER
0.566864078,0.963568232,SEKER
0.602322861,0.959757517,SEKER
0.556850132,0.978092293,SEKER
0.648804313,0.933969473,SEKER
0.622834724,0.947109324,SEKER
0.660492197,0.935912111,SEKER
0.577126083,0.951796025,SEKER
0.630340008,0.972090379,SEKER
0.606585095,0.962699343,SEKER
0.546118321,0.952420855,SEKER
0.348447064,0.936220331,SEKER
0.434901413,0.943535371,SEKER
0.565400888,0.972635434,SEKER
0.694684073,0.887911519,SEKER
0.480593155,0.966923684,SEKER
0.576753438,0.967649302,SEKER
0.459611724,0.978951452,SEKER
0.554496067,0.963677675,SEKER
0.568161577,0.972738528,SEKER
0.548288928,0.975445298,SEKER
0.667639428,0.935813409,SEKER
0.648687082,0.948433428,SEKER
0.534780403,0.975520057,SEKER
0.603818654,0.964330662,SEKER
0.586468741,0.970396566,SEKER
0.651634264,0.963748561,SEKER
0.605350813,0.911342838,SEKER
0.606974188,0.957352263,SEKER
0.61114104,0.901948292,SEKER
0.542501069,0.906941381,SEKER
0.669439826,0.933015096,SEKER
0.539133208,0.939268609,SEKER
0.561721907,0.967955047,SEKER
0.601109918,0.955460022,SEKER
0.599589518,0.929783518,SEKER
0.597105708,0.937552953,SEKER
0.578995336,0.914077026,SEKER
0.634150864,0.945924011,SEKER
0.577604191,0.96934453,SEKER
0.541259132,0.971530473,SEKER
0.498658155,0.963262663,SEKER
0.613684557,0.956227049,SEKER
0.623455934,0.935704465,SEKER
0.468318247,0.738145729,SEKER
0.603715212,0.932467691,SEKER
0.454192353,0.879484851,SEKER
0.630149576,0.910470418,SEKER
0.622499041,0.956949338,SEKER
0.63360703,0.964782759,SEKER
0.519280231,0.946601527,SEKER
0.633359224,0.918647623,SEKER
0.521396178,0.979989441,SEKER
0.694878303,0.934330618,SEKER
0.62120364,0.956117991,SEKER
0.496587741,0.964038734,SEKER
0.603707872,0.949221155,SEKER
0.522327068,0.96414536,SEKER
0.610246874,0.930556702,SEKER
0.670100002,0.82349942,SEKER
0.543057876,0.977363988,SEKER
0.537785626,0.937552498,SEKER
0.493619473,0.962841811,SEKER
0.608577894,0.958914913,SEKER
0.572062194,0.973296646,SEKER
0.607556381,0.917071461,SEKER
0.457395792,0.958394987,SEKER
0.665651159,0.94548203,SEKER
0.633979598,0.927687025,SEKER
0.598568249,0.921152636,SEKER
0.353483116,0.942894788,SEKER
0.645860986,0.89472183,SEKER
0.62801865,0.962307644,SEKER
0.622320642,0.969444467,SEKER
0.636016747,0.96184313,SEKER
0.570186581,0.96947377,SEKER
0.568113196,0.927271034,SEKER
0.530045317,0.9747312,SEKER
