MajorAxisLength,MinorAxisLength,Class
225.5350154,191.5211613,SEKER
221.2164258,195.0635178,SEKER
230.9311586,186.8608751,SEKER
228.1491732,189.1647868,SEKER
224.1509688,192.8605622,SEKER
231.5425397,187.0289921,SEKER
234.754845,184.2937385,SEKER
238.1924989,181.6542972,SEKER
233.113834,185.7332978,SEKER
222.3618326,194.7690372,SEKER
232.9882693,185.9156247,SEKER
219.7505747,197.0923214,SEKER
223.0963581,194.3808765,SEKER
229.0597505,189.1650397,SEKER
231.6577053,187.4123657,SEKER
226.9280102,191.1104706,SEKER
227.6209458,190.6640036,SEKER
232.4361441,186.7914403,SEKER
220.4383774,196.882203,SEKER
230.626947,188.3912829,SEKER
227.819142,190.8101712,SEKER
229.478736,189.5440417,SEKER
221.2423662,196.5103818,SEKER
235.5413478,184.7780345,SEKER
224.3380186,193.8042127,SEKER
231.5136009,188.035623,SEKER
226.5248185,192.2363364,SEKER
225.0605017,193.5928928,SEKER
223.9809149,194.474673,SEKER
228.0324687,191.4154535,SEKER
226.8735177,192.1947081,SEKER
233.1830193,186.9591042,SEKER
223.2982638,195.2383681,SEKER
232.6862934,187.7243461,SEKER
229.9085042,189.9911444,SEKER
228.0042799,191.3685323,SEKER
223.9688286,194.9291861,SEKER
227.5449241,191.8680382,SEKER
229.5589772,190.4115066,SEKER
230.658067,189.6239312,SEKER
220.9339754,198.103852,SEKER
227.9958451,191.8273267,SEKER
231.1581283,189.3043718,SEKER
229.2148642,190.8718701,SEKER
229.8067605,190.6295846,SEKER
238.2312433,183.7249369,SEKER
245.0146708,178.97451,SEKER
230.9211333,189.9052632,SEKER
231.7171471,189.1898259,SEKER
229.7747022,190.931594,SEKER
232.4579361,188.9396293,SEKER
233.9589857,187.3982909,SEKER
224.1432457,195.6151627,SEKER
232.4039146,189.1497475,SEKER
232.6456666,188.5544051,SEKER
229.7324979,191.3790717,SEKER
228.6978291,191.9152031,SEKER
234.60733,187.5726238,SEKER
225.0874113,195.3291753,SEKER
246.7254393,178.1577837,SEKER
230.1579705,190.9936711,SEKER
225.6494093,194.6503481,SEKER
241.0431821,182.3691135,SEKER
233.7407243,188.5878665,SEKER
233.182837,188.5763657,SEKER
236.5446412,185.8927694,SEKER
230.3294856,190.9197413,SEKER
224.7553177,195.6829765,SEKER
231.9170486,189.734176,SEKER
217.0221026,202.7149085,SEKER
235.0180104,187.2911352,SEKER
226.9754434,193.972557,SEKER
233.4408877,188.8659908,SEKER
231.4349165,190.4578223,SEKER
226.5195392,194.7187568,SEKER
235.9288048,187.0530848,SEKER
228.1943707,193.5033005,SEKER
231.8884211,190.4682829,SEKER
233.1312208,189.6828749,SEKER
229.3367837,192.4014026,SEKER
227.0632245,194.4152197,SEKER
234.6904502,188.3397997,SEKER
225.7926672,195.8277652,SEKER
235.5895195,187.6497244,SEKER
226.4475067,195.193788,SEKER
231.2624473,191.2410961,SEKER
233.6301362,189.501815,SEKER
230.7693155,191.7626609,SEKER
227.2593515,194.7318627,SEKER
228.8102714,193.6576351,SEKER
228.3272478,193.8600236,SEKER
234.5404192,188.725983,SEKER
221.0904959,200.2691414,SEKER
223.1988366,198.5282098,SEKER
231.22987,191.6720331,SEKER
229.7370214,192.8875726,SEKER
232.1753322,190.9940473,SEKER
230.5865191,192.1855584,SEKER
228.0476746,194.336638,SEKER
228.5222155,193.96029,SEKER
230.8566379,192.6459316,SEKER
228.0326605,194.3385831,SEKER
237.4905508,186.9933377,SEKER
236.6108792,187.4231531,SEKER
226.6361886,195.613827,SEKER
231.9569641,191.6112724,SEKER
223.7224915,198.5307932,SEKER
236.4262236,188.0626579,SEKER
230.4335815,192.7521882,SEKER
224.8250921,197.677632,SEKER
225.4135036,197.1479559,SEKER
229.2969816,193.9498701,SEKER
236.1931301,188.3981624,SEKER
223.8000145,198.8687463,SEKER
234.5232449,189.5311789,SEKER
232.3224642,191.4684387,SEKER
225.3698384,197.2329239,SEKER
235.2555984,189.2799888,SEKER
232.3946574,191.3768711,SEKER
230.3106061,193.1139792,SEKER
258.3197875,181.6399258,SEKER
230.1591986,193.7172105,SEKER
232.0235561,192.0522539,SEKER
234.9899023,189.5541679,SEKER
231.2618911,192.6081255,SEKER
237.5611221,187.9510512,SEKER
238.1086753,187.1376478,SEKER
242.822452,184.3295472,SEKER
235.0015866,189.6894581,SEKER
233.0086827,191.3427601,SEKER
236.9907334,188.1316847,SEKER
231.8361853,192.6036331,SEKER
232.0680178,192.5367815,SEKER
225.6145213,197.8959341,SEKER
228.9631987,195.0752162,SEKER
230.0316108,194.3218141,SEKER
223.2641008,200.2523714,SEKER
229.0391713,195.1179759,SEKER
234.2366519,191.2138075,SEKER
234.7952752,190.5792388,SEKER
229.6498757,194.93395,SEKER
227.9847727,196.1941843,SEKER
245.9349428,181.8560113,SEKER
237.2938758,188.4922823,SEKER
225.8521795,197.988503,SEKER
232.5036811,192.6269167,SEKER
232.3755601,192.4946821,SEKER
231.1126201,193.5514908,SEKER
234.3642027,191.0105524,SEKER
231.7962315,193.1433259,SEKER
233.2248862,192.0042077,SEKER
228.4024536,195.966868,SEKER
239.1831502,187.1601061,SEKER
234.5230255,190.924541,SEKER
226.2664317,197.955771,SEKER
243.7645848,183.7065283,SEKER
238.9292213,187.4223342,SEKER
230.2302104,194.6424568,SEKER
232.8834611,192.3850785,SEKER
226.7972341,197.6791575,SEKER
235.7913399,190.0240087,SEKER
232.2855372,193.4634694,SEKER
237.2809781,189.1299913,SEKER
231.2689629,194.31596,SEKER
233.9276146,192.0229569,SEKER
240.0903587,186.9855135,SEKER
234.9905396,191.2353297,SEKER
225.0636401,199.6920336,SEKER
234.8896338,191.2971925,SEKER
232.1302308,193.5975477,SEKER
230.0811517,195.4208887,SEKER
238.5525485,188.7741821,SEKER
223.9750122,200.8365205,SEKER
223.6208869,201.0973362,SEKER
232.6213057,193.387722,SEKER
238.2169831,188.8076239,SEKER
235.9340907,190.7405476,SEKER
234.6158228,192.04541,SEKER
233.1566948,193.1171461,SEKER
237.7766302,189.2416271,SEKER
232.9444526,193.4111007,SEKER
234.6395107,192.0162337,SEKER
228.9829683,196.6330141,SEKER
227.4674838,198.0449215,SEKER
228.8711515,196.9580537,SEKER
234.3666269,192.35218,SEKER
231.5229542,194.6544229,SEKER
235.0153084,191.8282547,SEKER
237.2896852,189.8898462,SEKER
222.2949087,202.8807894,SEKER
236.606393,190.5127968,SEKER
237.8744339,189.4917581,SEKER
235.7576962,191.3265181,SEKER
231.0084894,195.3459322,SEKER
233.9865511,192.879318,SEKER
241.922654,186.6907132,SEKER
228.5505682,197.4338111,SEKER
228.0033684,197.9427918,SEKER
237.1379832,190.3678563,SEKER
233.7422319,193.2188091,SEKER
228.037132,198.2331243,SEKER
233.1800328,193.710573,SEKER
234.4297046,192.6140462,SEKER
236.8674902,191.003258,SEKER
228.7551275,197.5865551,SEKER
235.7961595,191.5857195,SEKER
235.5324639,191.8532649,SEKER
226.947476,199.2610778,SEKER
241.0501435,187.6446637,SEKER
237.9018822,190.0844881,SEKER
228.5197507,197.9982626,SEKER
239.2324137,189.1161631,SEKER
227.1516125,199.3230352,SEKER
224.1421069,204.1513255,SEKER
232.996395,194.232582,SEKER
231.1069967,195.8801972,SEKER
231.1054635,196.0370157,SEKER
247.0624813,184.0422124,SEKER
232.2347035,195.0293809,SEKER
238.2386137,190.2546224,SEKER
227.2957017,199.3839165,SEKER
235.063906,192.994447,SEKER
245.397668,185.3486365,SEKER
240.6556265,188.5903078,SEKER
245.5544517,184.7444941,SEKER
240.389455,188.8797386,SEKER
230.1693895,197.1409408,SEKER
234.4285953,193.8260159,SEKER
233.0035907,195.2246498,SEKER
235.1230447,193.2178621,SEKER
233.6041328,194.4070019,SEKER
236.1571148,192.3417705,SEKER
227.476882,199.8096977,SEKER
241.4564778,188.2509018,SEKER
235.9739477,192.7272628,SEKER
230.9097907,197.0362234,SEKER
237.1640772,192.1409058,SEKER
237.692503,191.4124113,SEKER
235.795252,192.902193,SEKER
238.3892909,190.7619789,SEKER
229.6226847,198.0893949,SEKER
236.6649656,192.4798218,SEKER
233.5272374,194.8038188,SEKER
235.5078025,193.0748494,SEKER
230.1138772,197.7162664,SEKER
241.104352,188.6546976,SEKER
236.703013,192.3416647,SEKER
240.8120223,189.0891572,SEKER
235.1553949,193.9051263,SEKER
242.2163347,187.9909129,SEKER
249.4697994,182.9150412,SEKER
235.4891195,193.432329,SEKER
235.6615733,193.3776575,SEKER
237.8500276,191.8892822,SEKER
239.4353205,190.4997504,SEKER
236.8214407,192.7075785,SEKER
222.1229203,205.0983639,SEKER
245.5102084,185.6779934,SEKER
221.3199452,206.1931217,SEKER
240.1784495,189.8509594,SEKER
233.6187674,195.2244366,SEKER
249.7361414,182.7040856,SEKER
227.565012,200.5136154,SEKER
236.5847337,192.9328021,SEKER
232.7871235,196.0478268,SEKER
235.4053042,194.2379233,SEKER
237.7041795,192.1767591,SEKER
235.5032281,193.9656753,SEKER
241.7568646,189.1084507,SEKER
232.1107485,196.7334531,SEKER
229.295297,199.4579063,SEKER
230.9721739,197.8947951,SEKER
231.3393316,197.8137403,SEKER
232.5520303,196.5917462,SEKER
236.8511834,193.2548659,SEKER
238.0264533,192.2740092,SEKER
238.6370697,191.8374385,SEKER
229.9818299,199.1153587,SEKER
242.4962302,188.7911616,SEKER
251.6607689,182.0148219,SEKER
242.604317,188.8736921,SEKER
253.6640629,180.8837375,SEKER
231.4932948,197.9525237,SEKER
222.2541533,206.814546,SEKER
233.4929687,196.2922116,SEKER
235.3637924,194.9026697,SEKER
247.1838982,185.50147,SEKER
243.5302452,188.4149583,SEKER
235.3434819,194.8065986,SEKER
221.6979749,207.2346239,SEKER
229.3833925,199.9267542,SEKER
251.219347,182.6927204,SEKER
240.3551824,191.0743088,SEKER
238.6605052,192.5751142,SEKER
238.7682282,192.4767408,SEKER
236.1718703,194.5500554,SEKER
233.5802244,196.6680712,SEKER
237.0532471,193.8591292,SEKER
238.1659954,193.0809557,SEKER
243.5262185,189.1972144,SEKER
234.1534913,196.3316509,SEKER
237.3103987,193.835087,SEKER
236.3009663,194.6810895,SEKER
236.7518485,194.3442126,SEKER
247.9682578,185.621902,SEKER
247.771299,185.7046774,SEKER
236.9183865,194.403861,SEKER
234.7734095,196.3627615,SEKER
225.328776,204.6663388,SEKER
228.014068,201.8461467,SEKER
229.6596022,200.469555,SEKER
225.7379549,203.9796059,SEKER
241.8972262,190.4901446,SEKER
234.6393277,196.2778303,SEKER
240.4936544,191.5025775,SEKER
236.5060994,194.8376485,SEKER
222.6202324,206.9200348,SEKER
241.696022,190.8682385,SEKER
248.9354742,185.0490033,SEKER
234.9680946,196.1359724,SEKER
232.0572892,198.6801502,SEKER
238.8677906,193.0761368,SEKER
238.9798107,192.8749179,SEKER
238.5692529,193.2829526,SEKER
226.8299222,203.3922504,SEKER
238.4565742,193.3137853,SEKER
236.9992929,194.9151565,SEKER
236.3201945,195.2178042,SEKER
234.8935135,196.5813989,SEKER
237.5323078,194.5318786,SEKER
238.5663802,193.5712269,SEKER
230.5248972,200.5306111,SEKER
237.3120276,194.7811246,SEKER
221.7925064,208.3149927,SEKER
232.458816,198.9296296,SEKER
240.9473325,191.8950253,SEKER
242.8715934,190.5793454,SEKER
246.5483426,187.7492127,SEKER
243.7414222,189.8014847,SEKER
231.5127816,200.1100531,SEKER
240.1511717,192.6197446,SEKER
246.1701717,188.3103217,SEKER
235.0484903,196.9907507,SEKER
238.1356702,194.477831,SEKER
235.8061234,196.7621482,SEKER
243.4098446,190.9631883,SEKER
230.7864931,200.7416487,SEKER
226.5198481,204.8168758,SEKER
234.7907394,197.4200707,SEKER
239.1409014,193.8346431,SEKER
236.845565,195.647267,SEKER
244.4793815,189.7015456,SEKER
239.4697423,193.6535289,SEKER
233.8313405,198.3315724,SEKER
231.7670524,200.3144339,SEKER
236.5216703,196.2618033,SEKER
237.1721887,195.6412229,SEKER
238.6993457,194.4298757,SEKER
238.7034584,194.4487207,SEKER
242.005099,191.826017,SEKER
237.3111158,195.7067932,SEKER
229.6514033,202.3781617,SEKER
239.7786797,193.7050328,SEKER
242.5611765,192.0090373,SEKER
239.6298858,194.0208167,SEKER
239.704637,193.9093327,SEKER
240.7587296,193.1159195,SEKER
232.6367254,199.7496676,SEKER
233.8446496,198.8087511,SEKER
230.618257,201.7355247,SEKER
218.3369555,213.0391831,SEKER
232.8654425,199.7461437,SEKER
233.3318727,199.5817193,SEKER
238.3143596,195.398766,SEKER
243.796607,191.4935385,SEKER
231.5417418,201.2117885,SEKER
239.1149396,195.1000903,SEKER
239.78448,194.256328,SEKER
231.2505752,201.4553836,SEKER
247.4845266,188.2573394,SEKER
242.2837448,192.328492,SEKER
245.2090877,190.1029227,SEKER
241.3921932,193.1193049,SEKER
230.1563744,202.5033372,SEKER
248.4867776,187.7498487,SEKER
241.3724332,193.2983035,SEKER
239.8121644,194.3987173,SEKER
235.7260542,197.8406551,SEKER
242.298842,192.637272,SEKER
240.8547217,193.6350183,SEKER
247.3622283,188.5905933,SEKER
246.8871858,188.8914566,SEKER
224.3725593,207.9820031,SEKER
233.0502036,200.3535672,SEKER
236.195854,197.7146381,SEKER
231.346432,201.7064969,SEKER
244.7217496,191.1254361,SEKER
241.0228469,193.9536431,SEKER
229.3600251,203.7763392,SEKER
234.7081444,199.0931156,SEKER
239.3814703,195.210938,SEKER
236.0777173,198.1316669,SEKER
234.4158739,200.836907,SEKER
247.0046761,189.4631855,SEKER
244.3788346,191.5007484,SEKER
244.5579162,191.2965493,SEKER
235.9680653,198.4962669,SEKER
235.2084005,199.1109758,SEKER
248.185597,188.7028618,SEKER
237.9328529,197.0584232,SEKER
239.5114144,195.9298588,SEKER
238.615411,196.4650044,SEKER
243.9710923,191.984946,SEKER
244.34699,191.6975467,SEKER
244.7388893,191.479912,SEKER
231.3984561,202.7852691,SEKER
237.4887947,197.3692843,SEKER
245.2819356,191.5205321,SEKER
236.5744453,198.473853,SEKER
243.312911,192.8988275,SEKER
243.007473,193.3256032,SEKER
236.3614158,198.577267,SEKER
240.3522783,195.326873,SEKER
239.6661238,195.8726639,SEKER
238.3884884,197.0827402,SEKER
235.6207493,199.3110295,SEKER
240.5371522,195.5365482,SEKER
239.9274571,195.7341719,SEKER
238.888659,196.7100157,SEKER
236.7542211,198.3587987,SEKER
248.7781157,188.8261383,SEKER
245.2284633,191.528799,SEKER
237.2061033,198.1927712,SEKER
239.5827578,196.2747237,SEKER
237.6866158,197.7173758,SEKER
249.4449261,188.6030203,SEKER
243.8606864,192.9020853,SEKER
239.8594176,196.3685649,SEKER
246.3682022,190.9485904,SEKER
229.5186145,204.9146295,SEKER
236.925477,198.7767875,SEKER
248.8840072,189.0083083,SEKER
244.0535919,192.9037677,SEKER
241.6436104,195.2970133,SEKER
242.2198163,194.4135448,SEKER
241.9002397,194.678805,SEKER
235.6445936,199.8536132,SEKER
245.4100255,191.9958468,SEKER
246.9912937,190.7746497,SEKER
241.367873,195.1891714,SEKER
239.6615036,196.5264131,SEKER
242.8508454,194.0600216,SEKER
227.469026,207.200229,SEKER
244.4526398,192.9153156,SEKER
232.7137695,202.5916367,SEKER
242.5012245,194.4981765,SEKER
234.3538109,201.1927243,SEKER
245.2067081,192.3369273,SEKER
246.4741093,191.4056363,SEKER
242.2470916,194.6144489,SEKER
245.1813265,192.4378701,SEKER
245.1397042,192.4627248,SEKER
236.0162492,200.0525001,SEKER
246.1208289,191.8970266,SEKER
249.1860379,189.4711605,SEKER
235.9526183,200.1860404,SEKER
243.1193396,194.3774425,SEKER
245.3649806,192.5270994,SEKER
235.5307465,200.7524847,SEKER
233.450954,202.3679044,SEKER
237.1603388,199.6918027,SEKER
242.4224979,194.9527248,SEKER
238.3472402,198.4091776,SEKER
240.5905134,196.4977874,SEKER
239.8597557,197.2022904,SEKER
249.2224252,189.7102258,SEKER
238.4466035,198.3914395,SEKER
249.5144267,189.7779774,SEKER
242.7890097,195.1305704,SEKER
252.2560643,187.5939608,SEKER
246.690685,192.2165854,SEKER
251.9249487,188.1740507,SEKER
236.9842652,199.9171912,SEKER
232.9753925,203.2589797,SEKER
235.0857319,201.572877,SEKER
240.3835869,197.1792451,SEKER
246.0929557,192.8446857,SEKER
243.3434012,194.9100617,SEKER
243.8296133,194.384226,SEKER
234.8888511,201.7636663,SEKER
233.0992014,203.3456973,SEKER
244.6968592,194.1285942,SEKER
241.8861037,196.0563656,SEKER
246.030186,192.8818788,SEKER
252.8133685,188.5272921,SEKER
241.3239585,196.7439616,SEKER
244.7527839,194.0844937,SEKER
232.2710332,204.4789927,SEKER
249.1520443,190.7067662,SEKER
245.9339799,193.0760709,SEKER
239.7435958,198.1640344,SEKER
232.9372916,204.1582816,SEKER
250.0604704,189.9228983,SEKER
229.3815744,207.1091018,SEKER
251.5874622,189.0989626,SEKER
240.097665,198.4496453,SEKER
240.8765914,197.6153409,SEKER
238.0546589,199.8358502,SEKER
240.9624354,197.3288105,SEKER
242.7609094,196.6162257,SEKER
239.7906149,198.515935,SEKER
238.1729909,199.9543307,SEKER
241.941291,196.9313108,SEKER
237.3226512,200.8958975,SEKER
234.3934654,203.5114997,SEKER
263.8858174,180.4129872,SEKER
247.5682939,192.3189911,SEKER
247.3540221,192.7094909,SEKER
238.9641177,199.2270846,SEKER
232.9705016,204.6242163,SEKER
237.2305761,200.9293747,SEKER
244.0433475,195.2365176,SEKER
240.0719714,198.6176511,SEKER
241.4948759,197.4339125,SEKER
238.9729806,199.7897404,SEKER
238.5826817,199.8395309,SEKER
252.6125794,188.783812,SEKER
245.261315,194.8503787,SEKER
238.7938728,199.7549906,SEKER
248.509143,192.0870765,SEKER
241.2379712,197.8564002,SEKER
241.4330542,197.6945307,SEKER
236.5225703,201.9797095,SEKER
245.9677421,193.9975663,SEKER
244.5904793,195.1576945,SEKER
241.1956261,198.3011325,SEKER
229.0163681,208.466788,SEKER
244.497488,195.3803884,SEKER
239.2847356,199.5904668,SEKER
244.4693942,195.4526463,SEKER
242.9843493,196.9110602,SEKER
246.6305158,193.8404208,SEKER
242.8672064,196.6838318,SEKER
247.5799407,193.2182459,SEKER
250.5396277,190.9180435,SEKER
243.2472557,196.6784547,SEKER
232.9818929,205.4078221,SEKER
244.5970352,195.6331116,SEKER
237.3881463,201.4126248,SEKER
239.5729012,199.7187845,SEKER
235.930872,202.9740175,SEKER
246.0599293,194.4318532,SEKER
241.5599608,198.0492209,SEKER
244.9331917,195.328494,SEKER
236.4602056,202.526017,SEKER
253.4993159,188.9044447,SEKER
246.6819275,194.2830571,SEKER
243.4936116,196.7097492,SEKER
242.6865801,197.398589,SEKER
229.643827,209.019182,SEKER
238.3559836,201.098675,SEKER
248.899729,192.992721,SEKER
250.5441029,191.5283756,SEKER
240.4396377,199.7670381,SEKER
238.9158223,200.7943345,SEKER
249.2379262,192.5507286,SEKER
231.7787323,206.9460336,SEKER
252.0951069,190.5731441,SEKER
233.5697952,205.8281601,SEKER
243.2854619,197.6686076,SEKER
242.4523172,198.1308566,SEKER
248.2210556,193.6317498,SEKER
246.5710052,194.7807585,SEKER
238.5816472,201.47174,SEKER
247.2788263,194.4102346,SEKER
252.2616301,190.4736717,SEKER
246.6742856,194.8832128,SEKER
250.6271347,191.9684373,SEKER
238.2536324,201.9647666,SEKER
237.2051864,202.8017111,SEKER
251.9515971,190.7969684,SEKER
251.7711979,191.2624919,SEKER
236.5589109,203.4651127,SEKER
237.2047302,202.9953077,SEKER
242.6482986,198.5437169,SEKER
246.1757026,196.0336313,SEKER
250.1746618,192.7040335,SEKER
242.22684,198.8715078,SEKER
245.0519162,196.5277781,SEKER
243.7454539,197.7501503,SEKER
241.1020938,200.0346228,SEKER
235.2317816,204.8814704,SEKER
242.586215,198.8657396,SEKER
242.0160036,199.2346794,SEKER
242.0141714,199.3740179,SEKER
245.7749899,196.1905182,SEKER
240.9621294,200.1462736,SEKER
251.8815424,191.6705939,SEKER
248.4303303,194.3603238,SEKER
253.5201789,190.3512936,SEKER
243.0580212,198.4945625,SEKER
249.3710146,193.5915024,SEKER
246.5148776,195.9839049,SEKER
240.1544314,201.1793008,SEKER
227.0114265,212.784271,SEKER
231.7332227,208.670686,SEKER
242.1258116,199.7093024,SEKER
259.5328974,186.6859006,SEKER
234.7831509,205.8916005,SEKER
243.3535229,198.7999406,SEKER
233.2598714,207.1627477,SEKER
241.1531535,200.6843613,SEKER
242.4195105,199.4911412,SEKER
240.5254647,201.1487946,SEKER
255.1594978,189.9623637,SEKER
252.1497999,191.899925,SEKER
239.4126401,202.3015447,SEKER
246.4983607,196.4891967,SEKER
244.4664752,198.0109659,SEKER
252.8031217,191.7595894,SEKER
247.2044981,196.7645928,SEKER
246.9038174,196.2197834,SEKER
247.7575868,196.1055106,SEKER
240.242188,201.8166779,SEKER
255.362506,189.7001966,SEKER
239.8470136,202.0040737,SEKER
242.059273,200.2619577,SEKER
246.2687768,196.8097212,SEKER
246.136569,196.9849906,SEKER
245.8047776,197.1753898,SEKER
243.9204105,198.8758364,SEKER
250.6992371,193.8429913,SEKER
243.776737,198.9990877,SEKER
240.1872869,201.962884,SEKER
236.66274,205.1389633,SEKER
247.8752109,195.7101964,SEKER
249.1745716,194.8192543,SEKER
234.8940708,207.5429714,SEKER
247.0380998,196.9387892,SEKER
233.4684923,207.9979309,SEKER
250.1788379,194.2573049,SEKER
249.072897,194.9295706,SEKER
250.5443019,193.8348637,SEKER
238.4789606,203.8050799,SEKER
250.7483056,194.0435644,SEKER
238.5940168,203.5957886,SEKER
259.9242681,186.9186498,SEKER
249.0978612,195.2053347,SEKER
236.598131,205.3639906,SEKER
246.905723,196.8346306,SEKER
238.6497302,203.5074201,SEKER
247.7518689,196.2718315,SEKER
256.1133025,190.105434,SEKER
240.6779695,202.0961522,SEKER
240.298028,202.5908511,SEKER
236.4775468,205.6593189,SEKER
247.7144126,196.5599343,SEKER
243.5396831,199.7537433,SEKER
247.5815839,196.6482473,SEKER
233.9457354,208.03934,SEKER
255.3327747,190.5454144,SEKER
250.8627928,194.0046836,SEKER
246.5615485,197.5135069,SEKER
228.1868579,213.4553209,SEKER
252.5368639,192.8005396,SEKER
250.1782298,194.68827,SEKER
249.3851018,195.2092877,SEKER
251.3090882,193.9290045,SEKER
243.4245437,199.9769685,SEKER
243.2856909,200.212062,SEKER
239.6062492,203.1787473,SEKER
236.731011,205.9160211,SEKER
241.9492655,201.2045958,SEKER
242.9114813,200.5515465,SEKER
248.5088987,196.2365437,SEKER
253.5306606,192.2603594,SEKER
246.2705253,197.7036161,SEKER
246.2234895,198.2120835,SEKER
241.2438759,201.8755265,SEKER
239.6696899,203.3235252,SEKER
