Area,Perimeter,Class,,,,,,,,,,,,,,
33429,658.605,SEKER,,,,,,,,,,,,,,
33431,666.841,SEKER,,,,,,,,,,,,,,
33433,657.349,SEKER,,,,,,,,,,,,,,
33446,656.077,SEKER,,,,,,,,,,,,,,
33447,664.412,SEKER,,,,,,,,,,,,,,
33459,655.414,SEKER,,,,,,,,,,,,,,
33468,659.987,SEKER,,,,,,,,,,,,,,
33498,657.523,SEKER,,,,,,,,,,,,,,
33534,657.067,SEKER,,,,,,,,,,,,,,
33538,658.284,SEKER,,,,,,,,,,,,,,
33539,662.418,SEKER,,,,,,,,,,,,,,
33547,653.512,SEKER,,,,,,,,,,,,,,
33560,669.259,SEKER,,,,,,,,,,,,,,
33576,666.339,SEKER,,,,,,,,,,,,,,
33583,657.754,SEKER,,,,,,,,,,,,,,
33584,658.848,SEKER,,,,,,,,,,,,,,
33607,690.171,SEKER,,,,,,,,,,,,,,
33620,670.224,SEKER,,,,,,,,,,,,,,
33623,659.408,SEKER,,,,,,,,,,,,,,
33631,669.076,SEKER,,,,,,,,,,,,,,
33639,663.03,SEKER,,,,,,,,,,,,,,
33717,664.363,SEKER,,,,,,,,,,,,,,
33731,671.696,SEKER,,,,,,,,,,,,,,
33736,655.729,SEKER,,,,,,,,,,,,,,
33794,665.826,SEKER,,,,,,,,,,,,,,
33809,669.341,SEKER,,,,,,,,,,,,,,
33824,656.339,SEKER,,,,,,,,,,,,,,
33838,661.029,SEKER,,,,,,,,,,,,,,
33845,670.945,SEKER,,,,,,,,,,,,,,
33849,669.571,SEKER,,,,,,,,,,,,,,
33858,664.46,SEKER,,,,,,,,,,,,,,
33860,683.315,SEKER,,,,,,,,,,,,,,
33864,662.898,SEKER,,,,,,,,,,,,,,
33866,668.421,SEKER,,,,,,,,,,,,,,
33876,666.966,SEKER,,,,,,,,,,,,,,
33930,666.214,SEKER,,,,,,,,,,,,,,
33946,667.313,SEKER,,,,,,,,,,,,,,
33946,668.564,SEKER,,,,,,,,,,,,,,
33961,690.353,SEKER,,,,,,,,,,,,,,
33961,667.497,SEKER,,,,,,,,,,,,,,
33969,666.389,SEKER,,,,,,,,,,,,,,
33972,672.812,SEKER,,,,,,,,,,,,,,
33993,669.092,SEKER,,,,,,,,,,,,,,
33996,663.743,SEKER,,,,,,,,,,,,,,
34004,659.963,SEKER,,,,,,,,,,,,,,
34027,670.16,SEKER,,,,,,,,,,,,,,
34036,666.067,SEKER,,,,,,,,,,,,,,
34051,677.272,SEKER,,,,,,,,,,,,,,
34053,671.582,SEKER,,,,,,,,,,,,,,
34060,662.146,SEKER,,,,,,,,,,,,,,
34082,668.346,SEKER,,,,,,,,,,,,,,
34097,680.595,SEKER,,,,,,,,,,,,,,
34104,667.289,SEKER,,,,,,,,,,,,,,
34113,673.914,SEKER,,,,,,,,,,,,,,
34130,666.585,SEKER,,,,,,,,,,,,,,
34131,668.091,SEKER,,,,,,,,,,,,,,
34151,674.271,SEKER,,,,,,,,,,,,,,
34151,662.129,SEKER,,,,,,,,,,,,,,
34179,677.064,SEKER,,,,,,,,,,,,,,
34191,661.403,SEKER,,,,,,,,,,,,,,
34207,668.737,SEKER,,,,,,,,,,,,,,
34207,661.138,SEKER,,,,,,,,,,,,,,
34220,677.527,SEKER,,,,,,,,,,,,,,
34222,671.994,SEKER,,,,,,,,,,,,,,
34239,666.439,SEKER,,,,,,,,,,,,,,
34246,684.324,SEKER,,,,,,,,,,,,,,
34253,672.539,SEKER,,,,,,,,,,,,,,
34254,668.704,SEKER,,,,,,,,,,,,,,
34259,676.402,SEKER,,,,,,,,,,,,,,
34276,689.626,SEKER,,,,,,,,,,,,,,
34291,671.507,SEKER,,,,,,,,,,,,,,
34313,671.844,SEKER,,,,,,,,,,,,,,
34321,669.531,SEKER,,,,,,,,,,,,,,
34327,677.311,SEKER,,,,,,,,,,,,,,
34333,665.686,SEKER,,,,,,,,,,,,,,
34337,667.785,SEKER,,,,,,,,,,,,,,
34349,674.863,SEKER,,,,,,,,,,,,,,
34390,680.24,SEKER,,,,,,,,,,,,,,
34394,669.762,SEKER,,,,,,,,,,,,,,
34395,665.156,SEKER,,,,,,,,,,,,,,
34397,678.85,SEKER,,,,,,,,,,,,,,
34410,684.481,SEKER,,,,,,,,,,,,,,
34412,667.199,SEKER,,,,,,,,,,,,,,
34419,687.797,SEKER,,,,,,,,,,,,,,
34421,678.034,SEKER,,,,,,,,,,,,,,
34425,680.503,SEKER,,,,,,,,,,,,,,
34428,688.178,SEKER,,,,,,,,,,,,,,
34441,675.683,SEKER,,,,,,,,,,,,,,
34443,684.507,SEKER,,,,,,,,,,,,,,
34447,682.912,SEKER,,,,,,,,,,,,,,
34461,675.775,SEKER,,,,,,,,,,,,,,
34469,666.834,SEKER,,,,,,,,,,,,,,
34474,672.3,SEKER,,,,,,,,,,,,,,
34475,677.676,SEKER,,,,,,,,,,,,,,
34483,687.567,SEKER,,,,,,,,,,,,,,
34491,674.657,SEKER,,,,,,,,,,,,,,
34503,678.24,SEKER,,,,,,,,,,,,,,
34509,668.332,SEKER,,,,,,,,,,,,,,
34521,667.908,SEKER,,,,,,,,,,,,,,
34523,673.987,SEKER,,,,,,,,,,,,,,
34532,689.551,SEKER,,,,,,,,,,,,,,
34543,670.896,SEKER,,,,,,,,,,,,,,
34543,669.456,SEKER,,,,,,,,,,,,,,
34594,670.069,SEKER,,,,,,,,,,,,,,
34600,673.252,SEKER,,,,,,,,,,,,,,
34601,685.556,SEKER,,,,,,,,,,,,,,
34622,683.382,SEKER,,,,,,,,,,,,,,
34623,675.213,SEKER,,,,,,,,,,,,,,
34626,667.845,SEKER,,,,,,,,,,,,,,
34629,670.997,SEKER,,,,,,,,,,,,,,
34631,670.02,SEKER,,,,,,,,,,,,,,
34635,667.638,SEKER,,,,,,,,,,,,,,
34638,677.314,SEKER,,,,,,,,,,,,,,
34666,681.015,SEKER,,,,,,,,,,,,,,
34671,674.874,SEKER,,,,,,,,,,,,,,
34676,668.424,SEKER,,,,,,,,,,,,,,
34680,669.575,SEKER,,,,,,,,,,,,,,
34700,690.412,SEKER,,,,,,,,,,,,,,
34703,676.387,SEKER,,,,,,,,,,,,,,
34722,670.391,SEKER,,,,,,,,,,,,,,
34729,671.193,SEKER,,,,,,,,,,,,,,
34733,670.564,SEKER,,,,,,,,,,,,,,
34747,672.202,SEKER,,,,,,,,,,,,,,
34748,669.267,SEKER,,,,,,,,,,,,,,
34750,675.599,SEKER,,,,,,,,,,,,,,
34757,686.779,SEKER,,,,,,,,,,,,,,
34761,687.872,SEKER,,,,,,,,,,,,,,
34766,669.475,SEKER,,,,,,,,,,,,,,
34771,683.109,SEKER,,,,,,,,,,,,,,
34772,671.947,SEKER,,,,,,,,,,,,,,
34774,677.726,SEKER,,,,,,,,,,,,,,
34787,677.348,SEKER,,,,,,,,,,,,,,
34792,692.19,SEKER,,,,,,,,,,,,,,
34794,693.537,SEKER,,,,,,,,,,,,,,
34794,671.293,SEKER,,,,,,,,,,,,,,
34800,671.796,SEKER,,,,,,,,,,,,,,
34841,675.857,SEKER,,,,,,,,,,,,,,
34841,670.201,SEKER,,,,,,,,,,,,,,
34847,686.633,SEKER,,,,,,,,,,,,,,
34850,674.295,SEKER,,,,,,,,,,,,,,
34865,680,SEKER,,,,,,,,,,,,,,
34878,671.541,SEKER,,,,,,,,,,,,,,
34878,679.271,SEKER,,,,,,,,,,,,,,
34879,689.973,SEKER,,,,,,,,,,,,,,
34879,675.467,SEKER,,,,,,,,,,,,,,
34882,680.065,SEKER,,,,,,,,,,,,,,
34883,672.664,SEKER,,,,,,,,,,,,,,
34895,677.7,SEKER,,,,,,,,,,,,,,
34911,677.462,SEKER,,,,,,,,,,,,,,
34911,670.061,SEKER,,,,,,,,,,,,,,
34912,676.03,SEKER,,,,,,,,,,,,,,
34924,816.638,SEKER,,,,,,,,,,,,,,
34934,687.791,SEKER,,,,,,,,,,,,,,
34936,682.571,SEKER,,,,,,,,,,,,,,
34945,675.172,SEKER,,,,,,,,,,,,,,
34958,672.491,SEKER,,,,,,,,,,,,,,
34960,681.462,SEKER,,,,,,,,,,,,,,
34968,673.319,SEKER,,,,,,,,,,,,,,
34968,750.395,SEKER,,,,,,,,,,,,,,
34971,673.194,SEKER,,,,,,,,,,,,,,
34980,675.203,SEKER,,,,,,,,,,,,,,
34995,679.687,SEKER,,,,,,,,,,,,,,
35022,670.696,SEKER,,,,,,,,,,,,,,
35031,675.649,SEKER,,,,,,,,,,,,,,
35042,676.65,SEKER,,,,,,,,,,,,,,
35049,679.396,SEKER,,,,,,,,,,,,,,
35059,671.731,SEKER,,,,,,,,,,,,,,
35062,701.948,SEKER,,,,,,,,,,,,,,
35066,674.509,SEKER,,,,,,,,,,,,,,
35069,692.225,SEKER,,,,,,,,,,,,,,
35081,677.561,SEKER,,,,,,,,,,,,,,
35083,687.873,SEKER,,,,,,,,,,,,,,
35083,685.515,SEKER,,,,,,,,,,,,,,
35085,693.747,SEKER,,,,,,,,,,,,,,
35087,678.15,SEKER,,,,,,,,,,,,,,
35091,688.22,SEKER,,,,,,,,,,,,,,
35091,685.847,SEKER,,,,,,,,,,,,,,
35105,687.922,SEKER,,,,,,,,,,,,,,
35106,688.658,SEKER,,,,,,,,,,,,,,
35106,680.346,SEKER,,,,,,,,,,,,,,
35122,679.818,SEKER,,,,,,,,,,,,,,
35123,685.227,SEKER,,,,,,,,,,,,,,
35128,669.663,SEKER,,,,,,,,,,,,,,
35130,678.016,SEKER,,,,,,,,,,,,,,
35131,684.17,SEKER,,,,,,,,,,,,,,
35134,668.885,SEKER,,,,,,,,,,,,,,
35145,681.083,SEKER,,,,,,,,,,,,,,
35149,682.373,SEKER,,,,,,,,,,,,,,
35162,673.468,SEKER,,,,,,,,,,,,,,
35165,676.072,SEKER,,,,,,,,,,,,,,
35175,706.545,SEKER,,,,,,,,,,,,,,
35176,680.437,SEKER,,,,,,,,,,,,,,
35208,678.529,SEKER,,,,,,,,,,,,,,
35221,674.683,SEKER,,,,,,,,,,,,,,
35223,674.287,SEKER,,,,,,,,,,,,,,
35237,676.073,SEKER,,,,,,,,,,,,,,
35246,683.282,SEKER,,,,,,,,,,,,,,
35247,682.573,SEKER,,,,,,,,,,,,,,
35254,687.045,SEKER,,,,,,,,,,,,,,
35259,677.828,SEKER,,,,,,,,,,,,,,
35272,682.696,SEKER,,,,,,,,,,,,,,
35272,682.862,SEKER,,,,,,,,,,,,,,
35277,676.858,SEKER,,,,,,,,,,,,,,
35283,681.373,SEKER,,,,,,,,,,,,,,
35287,677.949,SEKER,,,,,,,,,,,,,,
35288,676.973,SEKER,,,,,,,,,,,,,,
35300,685.599,SEKER,,,,,,,,,,,,,,
35302,679.016,SEKER,,,,,,,,,,,,,,
35304,686.408,SEKER,,,,,,,,,,,,,,
35313,691.229,SEKER,,,,,,,,,,,,,,
35316,682.911,SEKER,,,,,,,,,,,,,,
35321,682.903,SEKER,,,,,,,,,,,,,,
35330,682.682,SEKER,,,,,,,,,,,,,,
35337,677.215,SEKER,,,,,,,,,,,,,,
35338,680.836,SEKER,,,,,,,,,,,,,,
35339,677.909,SEKER,,,,,,,,,,,,,,
35344,694.82,SEKER,,,,,,,,,,,,,,
35352,684.112,SEKER,,,,,,,,,,,,,,
35354,687.741,SEKER,,,,,,,,,,,,,,
35354,681.226,SEKER,,,,,,,,,,,,,,
35364,683.341,SEKER,,,,,,,,,,,,,,
35376,681.424,SEKER,,,,,,,,,,,,,,
35377,687.757,SEKER,,,,,,,,,,,,,,
35384,679.656,SEKER,,,,,,,,,,,,,,
35402,681.514,SEKER,,,,,,,,,,,,,,
35403,678.413,SEKER,,,,,,,,,,,,,,
35408,684.211,SEKER,,,,,,,,,,,,,,
35410,704.701,SEKER,,,,,,,,,,,,,,
35412,675.129,SEKER,,,,,,,,,,,,,,
35414,680.978,SEKER,,,,,,,,,,,,,,
35432,681.365,SEKER,,,,,,,,,,,,,,
35437,685.657,SEKER,,,,,,,,,,,,,,
35438,678.412,SEKER,,,,,,,,,,,,,,
35438,677.413,SEKER,,,,,,,,,,,,,,
35442,698.883,SEKER,,,,,,,,,,,,,,
35442,681.165,SEKER,,,,,,,,,,,,,,
35450,680.993,SEKER,,,,,,,,,,,,,,
35454,677.189,SEKER,,,,,,,,,,,,,,
35467,683.515,SEKER,,,,,,,,,,,,,,
35473,687.235,SEKER,,,,,,,,,,,,,,
35481,679.09,SEKER,,,,,,,,,,,,,,
35499,688.485,SEKER,,,,,,,,,,,,,,
35507,682.142,SEKER,,,,,,,,,,,,,,
35510,676.975,SEKER,,,,,,,,,,,,,,
35511,702,SEKER,,,,,,,,,,,,,,
35517,678.829,SEKER,,,,,,,,,,,,,,
35532,676.181,SEKER,,,,,,,,,,,,,,
35534,684.316,SEKER,,,,,,,,,,,,,,
35539,690.791,SEKER,,,,,,,,,,,,,,
35544,683.35,SEKER,,,,,,,,,,,,,,
35555,697.407,SEKER,,,,,,,,,,,,,,
35565,682.802,SEKER,,,,,,,,,,,,,,
35589,687.923,SEKER,,,,,,,,,,,,,,
35598,694.499,SEKER,,,,,,,,,,,,,,
35602,688.378,SEKER,,,,,,,,,,,,,,
35605,694.737,SEKER,,,,,,,,,,,,,,
35608,689.304,SEKER,,,,,,,,,,,,,,
35609,686.971,SEKER,,,,,,,,,,,,,,
35610,678.391,SEKER,,,,,,,,,,,,,,
35615,692.536,SEKER,,,,,,,,,,,,,,
35634,685.864,SEKER,,,,,,,,,,,,,,
35647,683.548,SEKER,,,,,,,,,,,,,,
35647,679.754,SEKER,,,,,,,,,,,,,,
35652,680.437,SEKER,,,,,,,,,,,,,,
35672,690.775,SEKER,,,,,,,,,,,,,,
35677,689.725,SEKER,,,,,,,,,,,,,,
35680,686.068,SEKER,,,,,,,,,,,,,,
35683,699.955,SEKER,,,,,,,,,,,,,,
35684,678.241,SEKER,,,,,,,,,,,,,,
35690,699.055,SEKER,,,,,,,,,,,,,,
35690,691.225,SEKER,,,,,,,,,,,,,,
35693,680.082,SEKER,,,,,,,,,,,,,,
35699,694.117,SEKER,,,,,,,,,,,,,,
35702,689.386,SEKER,,,,,,,,,,,,,,
35703,684.558,SEKER,,,,,,,,,,,,,,
35703,677.734,SEKER,,,,,,,,,,,,,,
35704,683.565,SEKER,,,,,,,,,,,,,,
35720,685.105,SEKER,,,,,,,,,,,,,,
35720,685.93,SEKER,,,,,,,,,,,,,,
35725,684.673,SEKER,,,,,,,,,,,,,,
35730,698.169,SEKER,,,,,,,,,,,,,,
35734,700.162,SEKER,,,,,,,,,,,,,,
35735,684.121,SEKER,,,,,,,,,,,,,,
35736,684.029,SEKER,,,,,,,,,,,,,,
35738,684.449,SEKER,,,,,,,,,,,,,,
35758,682.303,SEKER,,,,,,,,,,,,,,
35762,690.56,SEKER,,,,,,,,,,,,,,
35764,674.477,SEKER,,,,,,,,,,,,,,
35772,693.316,SEKER,,,,,,,,,,,,,,
35777,685.863,SEKER,,,,,,,,,,,,,,
35781,688.213,SEKER,,,,,,,,,,,,,,
35789,685.127,SEKER,,,,,,,,,,,,,,
35795,695.242,SEKER,,,,,,,,,,,,,,
35795,684.955,SEKER,,,,,,,,,,,,,,
35804,683.756,SEKER,,,,,,,,,,,,,,
35809,681.549,SEKER,,,,,,,,,,,,,,
35822,691.654,SEKER,,,,,,,,,,,,,,
35835,687.914,SEKER,,,,,,,,,,,,,,
35838,689.511,SEKER,,,,,,,,,,,,,,
35838,684.103,SEKER,,,,,,,,,,,,,,
35842,679.664,SEKER,,,,,,,,,,,,,,
35845,683.888,SEKER,,,,,,,,,,,,,,
35853,678.636,SEKER,,,,,,,,,,,,,,
35864,681.39,SEKER,,,,,,,,,,,,,,
35872,684.086,SEKER,,,,,,,,,,,,,,
35901,686.097,SEKER,,,,,,,,,,,,,,
35901,684.781,SEKER,,,,,,,,,,,,,,
35915,685.086,SEKER,,,,,,,,,,,,,,
35923,684.665,SEKER,,,,,,,,,,,,,,
35932,688.727,SEKER,,,,,,,,,,,,,,
35954,710.093,SEKER,,,,,,,,,,,,,,
35955,683.377,SEKER,,,,,,,,,,,,,,
35955,693.613,SEKER,,,,,,,,,,,,,,
35967,684.169,SEKER,,,,,,,,,,,,,,
35969,704.8,SEKER,,,,,,,,,,,,,,
35972,685.989,SEKER,,,,,,,,,,,,,,
35975,685.086,SEKER,,,,,,,,,,,,,,
35977,702.354,SEKER,,,,,,,,,,,,,,
35978,687.586,SEKER,,,,,,,,,,,,,,
35996,686.723,SEKER,,,,,,,,,,,,,,
36000,691.429,SEKER,,,,,,,,,,,,,,
36006,693.059,SEKER,,,,,,,,,,,,,,
36013,692.489,SEKER,,,,,,,,,,,,,,
36022,683.433,SEKER,,,,,,,,,,,,,,
36029,688.635,SEKER,,,,,,,,,,,,,,
36032,741.973,SEKER,,,,,,,,,,,,,,
36036,681.481,SEKER,,,,,,,,,,,,,,
36044,691.115,SEKER,,,,,,,,,,,,,,
36059,692.057,SEKER,,,,,,,,,,,,,,
36075,702.685,SEKER,,,,,,,,,,,,,,
36076,693.745,SEKER,,,,,,,,,,,,,,
36082,683.764,SEKER,,,,,,,,,,,,,,
36085,689.809,SEKER,,,,,,,,,,,,,,
36092,690.636,SEKER,,,,,,,,,,,,,,
36100,681.59,SEKER,,,,,,,,,,,,,,
36104,698.492,SEKER,,,,,,,,,,,,,,
36105,712.899,SEKER,,,,,,,,,,,,,,
36109,690.918,SEKER,,,,,,,,,,,,,,
36109,708.201,SEKER,,,,,,,,,,,,,,
36112,723.077,SEKER,,,,,,,,,,,,,,
36115,688.089,SEKER,,,,,,,,,,,,,,
36120,683.177,SEKER,,,,,,,,,,,,,,
36120,682.617,SEKER,,,,,,,,,,,,,,
36128,690.354,SEKER,,,,,,,,,,,,,,
36136,711.044,SEKER,,,,,,,,,,,,,,
36137,703.387,SEKER,,,,,,,,,,,,,,
36140,693.003,SEKER,,,,,,,,,,,,,,
36144,690.759,SEKER,,,,,,,,,,,,,,
36147,710.044,SEKER,,,,,,,,,,,,,,
36152,694.2,SEKER,,,,,,,,,,,,,,
36154,679.696,SEKER,,,,,,,,,,,,,,
36154,691.479,SEKER,,,,,,,,,,,,,,
36156,687.239,SEKER,,,,,,,,,,,,,,
36156,683.782,SEKER,,,,,,,,,,,,,,
36166,684.301,SEKER,,,,,,,,,,,,,,
36166,693.373,SEKER,,,,,,,,,,,,,,
36169,685.632,SEKER,,,,,,,,,,,,,,
36186,685.681,SEKER,,,,,,,,,,,,,,
36210,690.479,SEKER,,,,,,,,,,,,,,
36236,714.592,SEKER,,,,,,,,,,,,,,
36244,701.396,SEKER,,,,,,,,,,,,,,
36246,684.492,SEKER,,,,,,,,,,,,,,
36253,698.598,SEKER,,,,,,,,,,,,,,
36253,681.763,SEKER,,,,,,,,,,,,,,
36257,690.403,SEKER,,,,,,,,,,,,,,
36261,701.08,SEKER,,,,,,,,,,,,,,
36265,684.137,SEKER,,,,,,,,,,,,,,
36272,724.509,SEKER,,,,,,,,,,,,,,
36278,689.943,SEKER,,,,,,,,,,,,,,
36299,693.838,SEKER,,,,,,,,,,,,,,
36301,713.642,SEKER,,,,,,,,,,,,,,
36311,689.155,SEKER,,,,,,,,,,,,,,
36325,690.58,SEKER,,,,,,,,,,,,,,
36331,692.777,SEKER,,,,,,,,,,,,,,
36336,685.99,SEKER,,,,,,,,,,,,,,
36340,683.845,SEKER,,,,,,,,,,,,,,
36343,697.705,SEKER,,,,,,,,,,,,,,
36345,682.374,SEKER,,,,,,,,,,,,,,
36349,686.851,SEKER,,,,,,,,,,,,,,
36361,685.038,SEKER,,,,,,,,,,,,,,
36365,690.321,SEKER,,,,,,,,,,,,,,
36369,689.67,SEKER,,,,,,,,,,,,,,
36373,689.957,SEKER,,,,,,,,,,,,,,
36384,689.513,SEKER,,,,,,,,,,,,,,
36393,681.994,SEKER,,,,,,,,,,,,,,
36396,689.842,SEKER,,,,,,,,,,,,,,
36405,691.958,SEKER,,,,,,,,,,,,,,
36411,696.862,SEKER,,,,,,,,,,,,,,
36421,687.46,SEKER,,,,,,,,,,,,,,
36421,692.256,SEKER,,,,,,,,,,,,,,
36426,696.301,SEKER,,,,,,,,,,,,,,
36439,689.312,SEKER,,,,,,,,,,,,,,
36443,703.908,SEKER,,,,,,,,,,,,,,
36453,687.95,SEKER,,,,,,,,,,,,,,
36461,694.029,SEKER,,,,,,,,,,,,,,
36461,695.283,SEKER,,,,,,,,,,,,,,
36463,695.433,SEKER,,,,,,,,,,,,,,
36469,692.125,SEKER,,,,,,,,,,,,,,
36473,690.992,SEKER,,,,,,,,,,,,,,
36474,690.09,SEKER,,,,,,,,,,,,,,
36481,689.428,SEKER,,,,,,,,,,,,,,
36496,698.972,SEKER,,,,,,,,,,,,,,
36518,691.304,SEKER,,,,,,,,,,,,,,
36520,692.007,SEKER,,,,,,,,,,,,,,
36527,691.877,SEKER,,,,,,,,,,,,,,
36532,697.29,SEKER,,,,,,,,,,,,,,
36536,687.345,SEKER,,,,,,,,,,,,,,
36540,710.343,SEKER,,,,,,,,,,,,,,
36549,694.092,SEKER,,,,,,,,,,,,,,
36553,691.653,SEKER,,,,,,,,,,,,,,
36554,698.178,SEKER,,,,,,,,,,,,,,
36565,691.737,SEKER,,,,,,,,,,,,,,
36566,694.803,SEKER,,,,,,,,,,,,,,
36568,691.529,SEKER,,,,,,,,,,,,,,
36576,687.61,SEKER,,,,,,,,,,,,,,
36587,705.861,SEKER,,,,,,,,,,,,,,
